account_value,date,daily_return
100000.0,2024-01-03,
100019.68910989382,2024-01-04,0.00019689109893827883
98679.21468362429,2024-01-05,-0.01340210550741383
100927.99608621218,2024-01-06,0.02278880521898885
101333.82289132693,2024-01-09,0.004020953757648105
101869.28686776354,2024-01-10,0.005284158449354592
102708.55465569689,2024-01-11,0.008238673438666577
103518.27651467516,2024-01-12,0.007883684681306624
104082.20151009753,2024-01-13,0.005447588719682983
103183.31469979479,2024-01-17,-0.008636316269842959
100936.67919030382,2024-01-18,-0.021773244211308884
100131.73403039172,2024-01-19,-0.007974753740357166
101898.42011895373,2024-01-20,0.017643618236210523
103145.43018975451,2024-01-23,0.01223777630060452
102137.42146172716,2024-01-24,-0.009772694012453398
102053.3999239464,2024-01-25,-0.0008226322593453128
103592.37895074084,2024-01-26,0.015080134791602529
103439.0739008446,2024-01-27,-0.0014798873377465105
102593.86486687853,2024-01-30,-0.008171080831371969
104179.69657769396,2024-01-31,0.015457373721841305
105120.65100350573,2024-02-01,0.009032032696601577
106300.41161980822,2024-02-02,0.01122291961703259
104951.01687874987,2024-02-03,-0.012694162896420114
104642.47114434435,2024-02-06,-0.0029399022856727575
106557.30418267443,2024-02-07,0.018298813258038837
106030.1840998192,2024-02-08,-0.004946822621859526
105622.9583765526,2024-02-09,-0.0038406584570600533
105467.74749245837,2024-02-10,-0.0014694805606646488
107490.25966134264,2024-02-13,0.019176593953795118
107197.68308129504,2024-02-14,-0.002721889229492902
107103.45310082629,2024-02-15,-0.0008790300103528326
105586.83392586901,2024-02-16,-0.014160320055503162
105652.58569588854,2024-02-17,0.0006227269781162725
103745.87790551379,2024-02-21,-0.01804695812995094
103614.63278832629,2024-02-22,-0.0012650634399858918
104429.26549401476,2024-02-23,0.007862139581700678
103353.3452326317,2024-02-24,-0.010302861523475149
103649.94129052355,2024-02-27,0.002869728669393945
103023.69279351427,2024-02-28,-0.00604195708373767
103211.7182833214,2024-03-01,0.001825070376616944
105695.09484734728,2024-03-02,0.0240609942875758
106594.44143548205,2024-03-03,0.008508877251434122
107191.94496407702,2024-03-06,0.005605391055560904
106100.75094857409,2024-03-07,-0.010179813565922458
105392.41050591662,2024-03-08,-0.006676111491433212
103648.41882577135,2024-03-09,-0.01654760216388973
102829.96491875841,2024-03-10,-0.007896443730499358
102992.50239052965,2024-03-13,0.0015806430732487886
105280.42945351794,2024-03-14,0.02221450115186885
105304.2618204613,2024-03-15,0.00022637034315931004
107454.2477251549,2024-03-16,0.020416893557064553
106300.62906899645,2024-03-17,-0.010735905565214643
106317.49372735216,2024-03-20,0.0001586505978696806
107204.7486902733,2024-03-21,0.008345333696413881
105646.81346001818,2024-03-22,-0.014532334148333104
106270.0320345421,2024-03-23,0.005899075931521391
106948.3591829796,2024-03-24,0.006383052074520945
107358.49099984362,2024-03-27,0.0038348584307152933
107119.6584307213,2024-03-28,-0.002224626733274948
108381.96781029894,2024-03-29,0.011784105719437443
108889.94530358507,2024-03-30,0.004686918899417414
110325.5602327843,2024-03-31,0.013184090828558315
110306.00282540514,2024-04-03,-0.00017726995755007469
110021.39934792712,2024-04-04,-0.002580126830708407
110107.4456888695,2024-04-05,0.0007820873162163178
110539.50239434435,2024-04-06,0.003923955394403711
110456.8318506737,2024-04-10,-0.0007478823577089511
109664.30412545397,2024-04-11,-0.007174999607911459
110077.41272225573,2024-04-12,0.0037670288440363464
111921.32206978991,2024-04-13,0.016751023683547972
112397.34846368029,2024-04-14,0.004253223470622958
